No,Tag,TagName,
351,Ack15313
352,A15307
353,A15308
354,Ack15321
355,Ack15322
356,Ack15323
357,Ack15331
358,Ack15332
359,Ack15333
360,A1529
361,A1534
362,A15362
363,A15361
364,A15359
365,A15357
366,A15355
367,A15353
368,A15351
369,A15352
370,A15354
371,A15356
372,A15358
373,A1537
374,A15371
375,A15374
376,A15372
377,A15375
378,A15373
379,A15376
380,A15391
381,A15392
382,A1540
383,A1703
384,ZR17011
385,ZR17012
386,ZR17024
387,A1701
388,A1538
389,SI1527C
390,PI1527C
391,II1527C
392,PI1520C
393,TIA1535C
394,TIA1528L1C
395,TIA1528L2C
396,TIA1528R1C
397,TIA1528R2C
398,II1528aC
399,SI15281C
400,II1528bC
401,SI15282C
402,II1528cC
403,SI15283C
404,II1528dC
405,II1529C
406,TIA15285C
407,PI1528aC
408,PI1528bC
409,PI1528cC
410,PI1528dC
411,PI1528eC
412,PI1528fC
413,PI1528gC
414,PI1528hC
415,PI1528iC
416,TIA1529ZC
417,II15301C
418,II15302C
419,II15303C
420,II15304C
421,II15305C
422,II15306C
423,II15311C
424,II15312C
425,II15313C
426,II15307C
427,II15308C
428,II15321C
429,II15322C
430,II15323C
431,II15331C
432,II15332C
433,II15333C
434,ZI1539C
435,PI1537C
436,TIA1537IC
437,PI1542OC
438,TIA1542OC
439,PI1538C
440,ZI1538C
441,II1538C
442,XIA15381C
443,XIA15382C
444,II1703C
445,II1701C
446,LIA1701C
447,LIA1702C
448,A1915
449,A1916
450,A1917
451,A1918
452,A1919
453,A1920
454,A1921
455,ZF1922
456,A1926
457,A1929
458,A1927
459,A1928
460,A1929B
461,A1929A
462,ZF19392
463,A1939
464,A1940
465,A1933
466,A1931
467,A1934
468,A1935
469,A1943
470,LIA17211C
471,LIA19151C
472,LIA19161C
473,LIA19171C
474,II1919C
475,SumFICementA
476,FI1915C
477,FI1916C
478,FI1917C
479,FI1918C
480,FI1914C
481,Total1915
482,Total1916
483,Total1917
484,Total1918
485,Total1914
486,TotalCementA
487,II1920C
488,WI1924C
489,PI1925IC
490,TIA1925OC
491,PI1925OC
492,ZI1926C
493,II1926C
494,ZI19262C
495,PI1924ZC
496,PI1924YC
497,LI1924ZC
498,LI1924YC
499,TIA1929AC
500,TIA1929AZC
501,PI1929IC
502,II1929C
503,PI1929OC
504,TIA1929BC
